Node,Organism,Type,Pathway,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
cpd:C04556,bsu,metabolite,Biosynthesis of cofactors,0.002380952380952381,0.01734432719341377,0.03604222088732515,5.868960682269278e-11
rn:R00617,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.03057807115468621,7.730678228185041e-14
cpd:C01081,bsu,metabolite,Biosynthesis of cofactors,0.002380952380952381,0.0031746031746031746,0.03154021377256001,3.466276338397199e-13
cpd:C00068,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.02967149417167079,1.6464038305623905e-14
rn:R04509,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.012627809927253932,0.03480470692226949,1.3159499877761073e-11
cpd:C04752,bsu,metabolite,Biosynthesis of cofactors,0.002380952380952381,0.01106068056028342,0.03364755521136539,3.1313164435033606e-12
rn:R03471,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.03479125248508946,1.3085869072767188e-11
cpd:C01279,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.03362241494329553,2.785473170483284e-12
rn:R03223,bsu,reaction,Biosynthesis of cofactors,0.002380952380952381,0.0039587982399737764,0.032559822213034266,7.754831926225154e-13
 cpd:C04327,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.031533898941361965,1.6508179776704797e-13
rn:R10246,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.030191211003019122,1.6692348336548755e-14
cpd:C15809,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.02930709650408206,3.6049029826729275e-15
rn:R04638,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.0401580826109128,4.539186854748156e-11
cpd:C05925,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.03860885552321128,1.0157897620016751e-11
rn:R00497,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.048701298701298704,2.3189511201207525e-06
cpd:C00051,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.0464413401643876,4.976835978914115e-07
rn:R10712,bsu,reaction,Biosynthesis of cofactors,0.002380952380952381,0.0039587982399737764,0.032559822213034266,7.754831926225154e-13
 cpd:C20247,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.031533898941361965,1.6508179776704797e-13
 cpd:C00156,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.03324801435469826,1.481606862192972e-12
